,name,renewable,5 day,20 day,60 day,120 day,cluster
0,TSLA,1,0.08468697749477559,0.07361340159182982,0.3729983261530822,0.15587494484825937,2
1,STEM,1,-0.059714046900402155,-0.03109657169699161,0.2188468048952525,-0.6195372804212446,1
2,PLUG,1,-0.06558487285535314,0.1259012962459297,0.4456559950858434,0.05288456688971031,2
3,NEE,1,-0.03185272093438005,-0.13292463928865167,0.09895833905777482,-0.12074423347145113,1
4,BEP,1,-0.03753347607766795,-0.10967740171258034,0.21361442914851245,0.14309443207310366,1
5,FSLR,1,-0.009504014843597903,-0.25713360135993213,-0.316245138624519,-1.3475629361551547,0
6,SEDG,1,-0.2167122897492152,-0.3778374905426516,0.16001516162377527,-0.042365866155776095,1
7,HASI,1,-0.11353715033502843,-0.33566130882913436,0.280677016386698,0.1850865245486187,1
8,ENPH,1,-0.046877177878235254,-0.24303190291029958,-0.005714260801977041,-0.7439102763420197,1
9,FREY,1,-0.015624984866008388,0.009146332820563777,-0.20481928136795258,-0.5950920991999199,0
10,PLL,1,-0.007634785502291699,-0.2661767024711435,0.01820198670978317,-0.036944150714595725,1
11,LIN,1,-0.06820317814311898,-0.19851821162600705,-0.06393263601829696,-0.02989821537606994,0
12,GM,1,-0.0038461929712540065,-0.1903314762055209,-0.01110537943231947,-0.08750004238552517,0
13,ETN,1,-0.011910009203927574,-0.1955923218671823,-0.047147019496423165,-0.1741737955614506,0
14,JHX,1,0.14390131139153328,0.059236962884355406,0.2696804410539328,0.31705541521915426,2
15,HXL,1,-0.06402162647819518,-0.11090188894670111,0.06050954272652332,-0.09482279955885704,1
16,MGA,1,-0.024015549791633197,-0.1866176170638664,0.08098251852969594,0.07230837889031545,1
17,AQN,1,-0.011753992390093134,-0.09277342094719605,0.22129438625615266,0.2361774831564186,1
18,NEP,1,-0.03827945002119109,-0.16176033954734806,0.0711932550337348,-0.18442378493533446,1
19,ORA,1,-0.006983123757260318,-0.20067571741577953,-0.027680234596396597,-0.2733555256871581,0
20,MNTK,1,0.12296818501956212,0.13759558364634814,0.2972819957735919,-0.011409892781206445,2
21,VST,1,-0.06739601673825693,-0.13865542963473027,0.05611458027774952,0.052079291738355946,1
22,AES,1,-0.026832993816614838,-0.1655941955722181,-0.044196756275887934,-0.28584955775777754,0
23,AMPS,1,-0.05189877459491326,0.21751407634980163,0.2987341643793238,-0.21137029998269902,2
24,VVPR,1,0.2997988253327891,0.5028571486959653,0.7123967115576654,0.7600000147983941,3
25,CWEN,1,-0.011471735538813156,-0.15642998276369446,0.1312184331743158,-0.10280667700056324,1
26,NOVA,1,-0.13118282172125495,-0.2538736623695248,0.17522537331433113,-0.19274385734242747,1
27,AY,1,-0.014778327767996072,-0.15037895906085713,0.18714767405067204,0.11831241333546362,1
28,RNW,1,-0.06833330790201823,-0.17399263784392754,0.10098180301155096,0.0710145277076593,1
29,AZRE,1,-0.005424906298915148,-0.18803421938442968,0.5288135717874693,0.6076217422128825,2
30,WAVE,1,0.05552800732773666,-0.031123142520821944,0.26660253765475983,0.047500014305114746,2
31,ELLO,1,0.03509717075939869,0.020285029414892564,0.32182160984710156,0.2513615328466278,2
32,OXY,0,0.05131697391979816,-0.04244153896374562,-0.07136259369321389,-0.06251916969980396,0
33,TTE,0,0.004178235889753918,-0.12156864241057751,-0.06616960179112297,-0.009174319953491383,0
34,CVX,0,0.006487855486238514,-0.13794177858176349,-0.14595642580483587,-0.061204253622896075,0
35,EQT,0,-0.019961043288083177,-0.01872113877382296,0.13142620091196883,0.058003553122961814,1
36,KMI,0,0.01210783227466912,-0.044211762959290704,0.05176965274366001,0.06315235355474638,0
37,PXD,0,0.027679752317773348,-0.033807164246053685,-0.02559862083413789,0.08823529411764706,0
38,OVV,0,0.02827182785708934,-0.04175033809305258,-0.03427662834282041,-0.04154123256592314,0
39,EFAX,0,-0.05125792613999736,-0.13520752052287677,0.037292959885613014,0.07657474770517209,1
40,KBR,0,-0.024720926679404124,-0.14298421460161226,0.01664432608122437,-0.08484593430009364,0
41,RAFE,0,-0.036034403567490256,-0.11353794239344395,0.048967395012912404,0.012589068479120653,1
42,CIVI,0,0.04058465390676527,-0.05000778461291279,-0.027507560404974735,0.013280736679763497,0
43,DMXF,0,-0.05258918727148534,-0.13554943088065283,0.04711588155603725,0.07938746747418364,1
44,EEMX,0,-0.024962119818955304,-0.0830262494776845,0.08568168062924175,0.10914658537461039,1
45,SOJC,0,-0.026666641235351562,-0.04003858861718601,0.13344050670466032,0.05105633285518094,1
46,SPYX,0,-0.034084730154304195,-0.08439985485413941,0.10060243543815467,0.026599043901550018,1
47,KNTK,0,0.0371388866792445,-0.031231626876285452,0.12609236787169512,0.14435885479809754,0
48,AP,0,-0.09935903607976264,-0.04573173679141071,0.15308644315524428,0.23266214144270875,1
49,ROCC,0,0.024752458330590563,-0.19084619841937137,-0.07762437065940307,-0.13156447970233676,0
50,NRG,0,0.006087861383444093,-0.07407409472978764,-0.012867678478875457,0.045474197926450195,0
51,THR,0,-0.0727070025406781,-0.21009462735402615,-0.006295951867565556,-0.27441860877739016,1
52,USAC,0,0.01039959109452995,-0.01974057476064549,0.023230702315434653,-0.027856723528571086,0
