test MAE,Max Error,test R2
26.05456479691731,36.66632602732622,-17.17968640800623
1.425039061570459,2.555305150902628,-1.8354159890502566
39.48209145762107,48.89544070085424,-87.96291149106453
1.5694327573704168,2.5854632927023644,-4.177298557146921
4.035597432454428,10.847001495361326,-9.637811819742561
3.8273134891950757,9.214828935720305,-0.13153198044183356
0.6466663360595704,2.529998779296875,-4.446219551006953
1.884712059749654,2.97036694103393,-0.1113746710682133
4.900764181775347,7.483987144070213,-23.50551963665472
3.083335367838542,7.0600128173828125,-1.0825792422846479
0.628299876083336,1.19816676425366,-6.802228936298813
14.201334635416666,22.500015258789062,-2.197329154607562
4.266223830003061,7.001526722481927,-9.344453844526896
1.4133336385091146,4.19000244140625,-0.5884589163031275
1.7467585215727297,2.2583859627404195,-0.4407503406943416
1.7500007629394532,1.4500007629394531,-4.548178527197238
2.339190050359422,3.2585205871017706,-12.222505588307262
1.490984503365182,1.3762866208834765,-1.370686266985127
0.1988293897823084,0.5636686378847529,-1.8719545860948728
